date	value	value_15	value_30	value_50	value_70	value_100
2018-09-28	1.5830000000000002	1.5751165664074223	1.55929625907923	1.526387805145479	1.4808750709858685	1.391691664394146
2018-10-12	1.587	1.5672259307594838	1.539812746481756	1.492200821595001	1.4331748741403267	1.3266066721207161
2018-10-19	1.589	1.5672204798361797	1.5378480888340507	1.4877448326105642	1.4264212810194792	1.3168802836105808
2018-10-26	1.591	1.5705477154488803	1.542454788266869	1.4939514558769385	1.4340713609618179	1.3263339696391236
2018-11-02	1.5930000000000002	1.5773811640167734	1.5539366055462758	1.511230500561427	1.4565664924819808	1.3553313335151347
2018-11-09	1.597	1.5756490716877987	1.54665728123076	1.496977629852159	1.4359725745525231	1.3266975729479138
2018-11-16	1.6019999999999999	1.5837854050083353	1.5577909543716815	1.5118191953357556	1.4541137942636513	1.3488773747841105
2018-11-23	1.604	1.5805529735216968	1.5495035315233334	1.497190844979975	1.4337361611969826	1.321243523316062
2018-11-30	1.6059999999999999	1.5834909119535687	1.5533351843323604	1.5021238019991985	1.4396439718636997	1.3283337878374692
2018-12-07	1.608	1.5855963321315554	1.5555235350609016	1.50438672853436	1.4419403022992714	1.3306063085174074
2018-12-14	1.609	1.585826639737883	1.5550047668141032	1.5029197391638363	1.4396035068479147	1.3271520770839014
2018-12-21	1.609	1.580034483812273	1.5436150129364075	1.4845065293896378	1.4148217191066734	1.294336878465594
2018-12-28	1.611	1.5808801731030853	1.5433346899970064	1.482796697558787	1.4117956708792783	1.2896100354513225
2019-01-07	1.617	1.587934228376154	1.5513229420908523	1.4918266293545286	1.4216204358765534	1.3001545314062355
2019-01-14	1.621	1.591839056092533	1.555115097147546	1.4954444512870426	1.4250406122698172	1.3032451595309515
2019-01-21	1.6230000000000002	1.5987437375689435	1.566667777297574	1.5126888166165988	1.4472881291083608	1.3315153167893827
2019-01-28	1.624	1.5994925444543444	1.5671724006352414	1.5128845012361063	1.447200128013936	1.331060812653395
2019-02-11	1.6280000000000001	1.6082163265417804	1.5803896911594584	1.531628501016878	1.470827004676183	1.3606035814925916
2019-02-18	1.632	1.6176292129513123	1.5949917870158234	1.5526736089250828	1.497632125573822	1.3945095900372695
2019-02-25	1.633	1.630601714268753	1.6194843792406708	1.5915376369417977	1.5494263436535354	1.4624125079538224
2019-03-04	1.632	1.6324445465264426	1.624113910762667	1.5997218384481604	1.5608968176834932	1.478138351058995
2019-03-11	1.6340000000000001	1.6314915498110383	1.6202337379300946	1.5920590843608107	1.5496833000123376	1.4622307062994275
2019-03-18	1.6340000000000001	1.6363856409258541	1.629961315314317	1.6080049599878556	1.571434037764916	1.491591673484229
2019-03-25	1.6369999999999998	1.634524314283793	1.6232827404139092	1.595103839830915	1.5526945785153081	1.4651395327697483
2019-04-01	1.639	1.645435321725977	1.6429836607449473	1.6260962579292495	1.5942080814641806	1.5204072357058454
2019-04-09	1.6380000000000001	1.6485366955348504	1.6501795969541337	1.6386276306379735	1.611797030799483	1.5447686573947828
2019-04-16	1.6380000000000001	1.648728528541987	1.650562691314824	1.6392595585153227	1.6126643806465073	1.5459503681483506
2019-04-23	1.639	1.6471618187902057	1.6464315099911593	1.631783608825391	1.6020142300873967	1.531042632487956
2019-04-30	1.639	1.6431333256403386	1.6383865284166639	1.618513123401061	1.5837998832998919	1.5062267066630308
2019-05-10	1.645	1.641239140041457	1.6285753538151049	1.5983302372014117	1.5537216860075505	1.4627761112626128
2019-05-17	1.65	1.6422528433781158	1.625641909282241	1.590303800544302	1.5409236785583362	1.443686937551132
2019-05-24	1.651	1.6411199430112102	1.6224061860885408	1.5843690137050852	1.5324767868674942	1.431960730842651
2019-05-31	1.652	1.643702274026896	1.6265390410268499	1.5904772025082403	1.5404060357357534	1.4422325243159717
2019-06-10	1.6540000000000001	1.6447258809810887	1.626595578392442	1.5892853926847113	1.5380437009382402	1.438323788746478
2019-06-17	1.653	1.6458229242956102	1.6297512416031887	1.5950698434286419	1.546259663645884	1.449686392146169
2019-06-24	1.656	1.6560222735841958	1.6469828285060348	1.621226142813582	1.5806056766018028	1.49450049995455
2019-06-30	1.6569999999999998	1.6565571430800148	1.6470568318116292	1.6207049563781268	1.5795260728956326	1.4926824834105994
2019-07-05	1.66	1.6620725569428703	1.6549934721977242	1.6316590542445586	1.5931857063557056	1.5096809380965373
2019-07-12	1.661	1.660163790638315	1.6501891653545164	1.6230962010197167	1.5810782663354166	1.4928642850649947
2019-07-19	1.662	1.6611351216811943	1.65112650705432	1.6239809892298842	1.5819036746692827	1.4935914916825748
2019-07-26	1.665	1.6657801577751303	1.6573894711744002	1.632313729023398	1.5921530105987671	1.5063176074902287
2019-08-02	1.6680000000000001	1.6640241742879465	1.6509070639626324	1.61970839001525	1.5737866702113652	1.4803199709117358
2019-08-09	1.671	1.662147743621322	1.6442006623625058	1.6067698535966064	1.555012642901528	1.4538678301972552
2019-08-16	1.6740000000000002	1.6677966705972362	1.6524477641964816	1.618329717603593	1.5696279844629797	1.4724115989455506
2019-08-23	1.675	1.673009046909846	1.6618125905695609	1.6330216918548368	1.5892720312113673	1.4985001363512414
2019-08-30	1.676	1.6730220852148834	1.6608459054790787	1.6307874985392818	1.585847059466864	1.4935005908553771
2019-09-06	1.6769999999999998	1.679823695742497	1.6733711441922456	1.650662595436028	1.6125626536214368	1.529133715116808
2019-09-16	1.679	1.6818564726047782	1.6754252738194826	1.6527269972672092	1.6146164450767349	1.5311335333151537
2019-09-23	1.679	1.6792008122515278	1.6701465686237889	1.6440751760354213	1.6028196701302477	1.5152258885555865
2019-09-30	1.68	1.6770152330567496	1.6648090231728847	1.6346757524943984	1.5896230257795607	1.497045723116081
2019-10-14	1.683	1.685061763899035	1.6778165933828042	1.6540264751649358	1.6148454379959414	1.5298609217343884
