date	value_zq	value_hs300
2013-05-30	1.141	1.1276
2013-05-31	1.141	1.1184
2013-06-03	1.142	1.1182
2013-06-04	1.141	1.1058
2013-06-05	1.141	1.1044
2013-06-06	1.14	1.0938
2013-06-07	1.141	1.0799
2013-06-13	1.138	1.0527
2013-06-14	1.137	1.0585
2013-06-17	1.138	1.0544
2013-06-18	1.138	1.0598
2013-06-19	1.136	1.0539
2013-06-20	1.127	1.0267
2013-06-21	1.127	1.0261
2013-06-24	1.122	0.9757
2013-06-25	1.123	0.9738
2013-06-26	1.126	0.9751
2013-06-27	1.128	0.9736
2013-06-28	1.13	0.9858
2013-06-30	1.13	0.9858
2013-07-01	1.131	0.9905
2013-07-02	1.132	0.9933
2013-07-03	1.129	0.9878
2013-07-04	1.129	0.9943
2013-07-05	1.13	0.996
2013-07-08	1.127	0.975
2013-07-09	1.127	0.9748
2013-07-10	1.126	0.9961
2013-07-11	1.128	1.0331
2013-07-12	1.125	1.0153
2013-07-15	1.126	1.0265
2013-07-16	1.125	1.0304
2013-07-17	1.123	1.0184
2013-07-18	1.122	1.0056
2013-07-19	1.12	0.9864
2013-07-22	1.118	0.9915
2013-07-23	1.119	1.0135
2013-07-24	1.117	1.0077
2013-07-25	1.117	1.0038
2013-07-26	1.117	0.998
2013-07-29	1.116	0.9803
2013-07-30	1.115	0.9849
2013-07-31	1.115	0.9864
2013-08-01	1.117	1.0046
2013-08-02	1.119	1.0053
2013-08-05	1.119	1.016
2013-08-06	1.119	1.0214
2013-08-07	1.116	1.0169
2013-08-08	1.114	1.0158
2013-08-09	1.113	1.019
2013-08-12	1.118	1.0421
2013-08-13	1.116	1.0443
2013-08-14	1.115	1.0409
2013-08-15	1.113	1.0313
2013-08-16	1.113	1.0255
2013-08-19	1.114	1.0351
2013-08-20	1.112	1.0287
2013-08-21	1.111	1.0273
2013-08-22	1.112	1.0258
2013-08-23	1.112	1.02
2013-08-26	1.112	1.0366
2013-08-27	1.112	1.0386
2013-08-28	1.112	1.0343
2013-08-29	1.112	1.0309
2013-08-30	1.113	1.0294
2013-09-02	1.113	1.0317
2013-09-03	1.114	1.0434
2013-09-04	1.115	1.0421
2013-09-05	1.115	1.039
2013-09-06	1.116	1.0448
2013-09-09	1.119	1.074
2013-09-10	1.12	1.0868
2013-09-11	1.12	1.0893
2013-09-12	1.12	1.0981
2013-09-13	1.119	1.0918
2013-09-16	1.119	1.088
2013-09-17	1.119	1.0701
2013-09-18	1.12	1.0723
2013-09-23	1.121	1.0858
2013-09-24	1.12	1.0759
2013-09-25	1.12	1.0708
2013-09-26	1.12	1.0554
2013-09-27	1.12	1.0591
2013-09-30	1.12	1.0639
2013-10-08	1.122	1.075
2013-10-09	1.122	1.0792
2013-10-10	1.123	1.0707
2013-10-11	1.123	1.0842
2013-10-14	1.123	1.0854
2013-10-15	1.122	1.0837
2013-10-16	1.121	1.0678
2013-10-17	1.122	1.065
2013-10-18	1.122	1.0694
2013-10-21	1.123	1.0849
2013-10-22	1.123	1.0761
2013-10-23	1.121	1.0668
2013-10-24	1.12	1.0607
2013-10-25	1.118	1.05
2013-10-28	1.117	1.0491
2013-10-29	1.116	1.0514
2013-10-30	1.116	1.0635
2013-10-31	1.115	1.0517
2013-11-01	1.117	1.0556
