date	value	value_50%	value_100%
2013-12-27	1.0303605313092978	1.0166948249667458	1.0030291186241937
2014-01-06	1.0284629981024669	1.0046555756586206	0.9808481532147743
2014-01-13	1.023719165085389	0.9948085760936032	0.9658979871018175
2014-01-20	1.0180265654648954	0.9874185983470656	0.9568106312292358
2014-01-27	1.0246679316888045	0.9991426428035579	0.9736173539183114
2014-02-10	1.0303605313092978	1.0104900174623488	0.9906195036153996
2014-02-17	1.040796963946869	1.0231344600856098	1.0054719562243504
2014-02-24	1.0483870967741935	1.0106602280822305	0.9729333593902677
2014-03-03	1.0540796963946868	1.009597987732227	0.9651162790697674
2014-03-10	1.0493358633776089	0.9915430538306844	0.93375024428376
2014-03-17	1.0521821631878558	1.0005878570482958	0.9489935509087355
2014-03-24	1.0540796963946868	1.0071062933800676	0.9601328903654485
2014-03-31	1.0521821631878558	1.0010275678163238	0.9498729724447917
2014-04-08	1.0569259962049335	1.0187405044538447	0.9805550127027556
2014-04-15	1.062618595825427	1.0201699584560004	0.9777213210865741
2014-04-22	1.0683111954459201	1.0175443020418968	0.9667774086378736
2014-04-29	1.0702087286527513	1.011750836868881	0.9532929450850107
2014-05-08	1.0777988614800758	1.0121259306423243	0.946452999804573
2014-05-15	1.0872865275142314	1.0184331797235022	0.9495798319327731
2014-05-22	1.088235294117647	1.016953292945085	0.945671291772523
2014-05-29	1.092979127134725	1.023624603629899	0.9542700801250733
2014-06-06	1.101518026565465	1.0248649347210752	0.9482118428766856
2014-06-13	1.1091081593927894	1.0357930869271939	0.9624780144615985
2014-06-20	1.1072106261859582	1.0290303668354062	0.9508501074848543
2014-06-27	1.1138519924098673	1.0360641630995984	0.9582763337893296
2014-07-04	1.1138519924098673	1.0413895490679392	0.9689271057260114
2014-07-11	1.1157495256166983	1.0387717727751264	0.9617940199335547
2014-07-18	1.1166982922201139	1.0433012664930938	0.9699042407660738
2014-07-25	1.1204933586337762	1.061712381876982	1.0029314051201876
2014-08-01	1.125237191650854	1.076493913394315	1.027750635137776
2014-08-08	1.129032258064516	1.0789288708731803	1.0288254836818447
2014-08-15	1.135673624288425	1.0873306561934601	1.0389876880984952
2014-08-22	1.139468690702087	1.0900587541843443	1.0406488176666013
