	date	value
442	2011-01-17	1.2214
443	2011-01-18	1.2223
444	2011-01-19	1.2446
445	2011-01-20	1.2115
446	2011-01-21	1.2242
447	2011-01-24	1.2146
448	2011-01-25	1.2095
449	2011-01-26	1.2227
450	2011-01-27	1.2384
451	2011-01-28	1.2419
452	2011-01-31	1.2547
453	2011-02-01	1.255
454	2011-02-09	1.2428
455	2011-02-10	1.2635
456	2011-02-11	1.269
457	2011-02-14	1.3015
458	2011-02-15	1.301
459	2011-02-16	1.3111
460	2011-02-17	1.3102
461	2011-02-18	1.2989
462	2011-02-21	1.3141
463	2011-02-22	1.2827
464	2011-02-23	1.2865
465	2011-02-24	1.2918
466	2011-02-25	1.2939
467	2011-02-28	1.3078
468	2011-03-01	1.313
469	2011-03-02	1.3094
470	2011-03-03	1.3025
471	2011-03-04	1.3187
472	2011-03-07	1.3402
473	2011-03-08	1.3412
474	2011-03-09	1.3418
475	2011-03-10	1.3221
476	2011-03-11	1.3111
477	2011-03-14	1.3164
478	2011-03-15	1.2967
479	2011-03-16	1.3113
480	2011-03-17	1.2942
481	2011-03-18	1.3004
482	2011-03-21	1.2973
483	2011-03-22	1.3026
484	2011-03-23	1.3166
485	2011-03-24	1.312
486	2011-03-25	1.3263
487	2011-03-28	1.3244
488	2011-03-29	1.3137
489	2011-03-30	1.3129
490	2011-03-31	1.3022
491	2011-04-01	1.3184
492	2011-04-06	1.3308
493	2011-04-07	1.335
494	2011-04-08	1.3445
495	2011-04-11	1.3378
496	2011-04-12	1.3356
497	2011-04-13	1.3507
498	2011-04-14	1.3445
499	2011-04-15	1.3461
500	2011-04-18	1.3461
501	2011-04-19	1.3255
502	2011-04-20	1.3253
503	2011-04-21	1.3323
504	2011-04-22	1.3268
505	2011-04-25	1.3105
506	2011-04-26	1.3047
507	2011-04-27	1.2977
508	2011-04-28	1.2824
509	2011-04-29	1.2923
510	2011-05-03	1.2982
511	2011-05-04	1.2716
512	2011-05-05	1.2704
513	2011-05-06	1.2689
514	2011-05-09	1.2715
515	2011-05-10	1.2794
516	2011-05-11	1.2768
517	2011-05-12	1.2627
518	2011-05-13	1.2713
519	2011-05-16	1.2623
520	2011-05-17	1.2677
521	2011-05-18	1.2754
522	2011-05-19	1.2691
523	2011-05-20	1.2696
524	2011-05-23	1.2374
525	2011-05-24	1.2385
526	2011-05-25	1.2269
527	2011-05-26	1.2228
528	2011-05-27	1.2182
529	2011-05-30	1.2149
530	2011-05-31	1.2305
531	2011-06-01	1.2315
532	2011-06-02	1.2156
533	2011-06-03	1.2261
534	2011-06-07	1.2318
535	2011-06-08	1.2332
536	2011-06-09	1.2153
537	2011-06-10	1.2194
538	2011-06-13	1.2162
539	2011-06-14	1.2307
540	2011-06-15	1.2212
541	2011-06-16	1.2069
542	2011-06-17	1.1985
543	2011-06-20	1.193
544	2011-06-21	1.2043
545	2011-06-22	1.2042
546	2011-06-23	1.2207
547	2011-06-24	1.2442
548	2011-06-27	1.2469
549	2011-06-28	1.2485
550	2011-06-29	1.235
551	2011-06-30	1.2492
552	2011-07-01	1.2516
553	2011-07-04	1.2755
554	2011-07-05	1.2759
555	2011-07-06	1.2731
556	2011-07-07	1.2693
557	2011-07-08	1.2722
558	2011-07-11	1.2734
559	2011-07-12	1.255
560	2011-07-13	1.2712
561	2011-07-14	1.2742
562	2011-07-15	1.2786
563	2011-07-18	1.2767
564	2011-07-19	1.2675
565	2011-07-20	1.2662
566	2011-07-21	1.2556
567	2011-07-22	1.2586
568	2011-07-25	1.2257
569	2011-07-26	1.2289
570	2011-07-27	1.2362
571	2011-07-28	1.2301
572	2011-07-29	1.2274
573	2011-08-01	1.2292
574	2011-08-02	1.2222
575	2011-08-03	1.2218
576	2011-08-04	1.2237
577	2011-08-05	1.203
578	2011-08-08	1.1688
579	2011-08-09	1.1701
580	2011-08-10	1.1785
581	2011-08-11	1.1928
582	2011-08-12	1.1956
583	2011-08-15	1.2098
584	2011-08-16	1.2032
585	2011-08-17	1.1993
586	2011-08-18	1.182
587	2011-08-19	1.1735
588	2011-08-22	1.1637
589	2011-08-23	1.1784
590	2011-08-24	1.1747
591	2011-08-25	1.2059
592	2011-08-26	1.2051
593	2011-08-29	1.189
594	2011-08-30	1.1853
595	2011-08-31	1.1868
596	2011-09-01	1.1829
597	2011-09-02	1.1727
598	2011-09-05	1.1528
599	2011-09-06	1.1461
600	2011-09-07	1.1646
601	2011-09-08	1.1568
602	2011-09-09	1.155
603	2011-09-13	1.1449
604	2011-09-14	1.1492
605	2011-09-15	1.1479
606	2011-09-16	1.1496
607	2011-09-19	1.1313
608	2011-09-20	1.1349
609	2011-09-21	1.1618
610	2011-09-22	1.1337
611	2011-09-23	1.1283
612	2011-09-26	1.1089
613	2011-09-27	1.1177
614	2011-09-28	1.1086
615	2011-09-29	1.1012
616	2011-09-30	1.0989
617	2011-10-10	1.0906
618	2011-10-11	1.0887
619	2011-10-12	1.1197
620	2011-10-13	1.1256
621	2011-10-14	1.1226
622	2011-10-17	1.127
623	2011-10-18	1.1019
624	2011-10-19	1.0989
625	2011-10-20	1.0781
626	2011-10-21	1.0741
627	2011-10-24	1.0971
628	2011-10-25	1.113
629	2011-10-26	1.1216
630	2011-10-27	1.1235
631	2011-10-28	1.1407
632	2011-10-31	1.1358
633	2011-11-01	1.1366
634	2011-11-02	1.1515
635	2011-11-03	1.1521
636	2011-11-04	1.1585
637	2011-11-07	1.1493
638	2011-11-08	1.1464
639	2011-11-09	1.1543
640	2011-11-10	1.1374
641	2011-11-11	1.1357
642	2011-11-14	1.1538
643	2011-11-15	1.1519
644	2011-11-16	1.1271
645	2011-11-17	1.1243
646	2011-11-18	1.1059
647	2011-11-21	1.1068
648	2011-11-22	1.1068
649	2011-11-23	1.0981
650	2011-11-24	1.0997
651	2011-11-25	1.0935
652	2011-11-28	1.0947
653	2011-11-29	1.1065
654	2011-11-30	1.0774
655	2011-12-01	1.099
656	2011-12-02	1.0903
657	2011-12-05	1.0783
658	2011-12-06	1.0768
659	2011-12-07	1.0809
660	2011-12-08	1.0799
661	2011-12-09	1.0726
662	2011-12-12	1.0642
663	2011-12-13	1.0455
664	2011-12-14	1.0375
665	2011-12-15	1.0185
666	2011-12-16	1.035
667	2011-12-19	1.0332
668	2011-12-20	1.0309
669	2011-12-21	1.0183
670	2011-12-22	1.0191
671	2011-12-23	1.0249
672	2011-12-26	1.017
673	2011-12-27	1.0068
674	2011-12-28	1.0076
675	2011-12-29	1.0087
676	2011-12-30	1.02
677	2011-12-31	1.02
678	2012-01-04	1.0041
679	2012-01-05	0.9971
680	2012-01-06	1.0017
681	2012-01-09	1.0279
682	2012-01-10	1.0541
683	2012-01-11	1.05
684	2012-01-12	1.0501
685	2012-01-13	1.0364
686	2012-01-16	1.0199
687	2012-01-17	1.0586
688	2012-01-18	1.0459
689	2012-01-19	1.0618
690	2012-01-20	1.0736
691	2012-01-30	1.0591
692	2012-01-31	1.0602
693	2012-02-01	1.0483
694	2012-02-02	1.0673
695	2012-02-03	1.0739
696	2012-02-06	1.0732
697	2012-02-07	1.0578
698	2012-02-08	1.0812
699	2012-02-09	1.0814
700	2012-02-10	1.0829
701	2012-02-13	1.0822
702	2012-02-14	1.0789
703	2012-02-15	1.0879
704	2012-02-16	1.0833
705	2012-02-17	1.0837
706	2012-02-20	1.0849
707	2012-02-21	1.092
708	2012-02-22	1.1037
709	2012-02-23	1.1066
710	2012-02-24	1.1206
711	2012-02-27	1.1234
712	2012-02-28	1.1255
713	2012-02-29	1.116
714	2012-03-01	1.1158
715	2012-03-02	1.1313
716	2012-03-05	1.1256
717	2012-03-06	1.1117
718	2012-03-07	1.1056
719	2012-03-08	1.1165
720	2012-03-09	1.126
721	2012-03-12	1.1226
722	2012-03-13	1.1315
723	2012-03-14	1.1063
724	2012-03-15	1.0998
725	2012-03-16	1.1122
726	2012-03-19	1.1143
727	2012-03-20	1.099
728	2012-03-21	1.1001
729	2012-03-22	1.0988
730	2012-03-23	1.0886
731	2012-03-26	1.0895
732	2012-03-27	1.0865
733	2012-03-28	1.0625
734	2012-03-29	1.0518
735	2012-03-30	1.0557
736	2012-03-31	1.0557
737	2012-04-05	1.075
738	2012-04-06	1.0775
739	2012-04-09	1.0692
740	2012-04-10	1.0774
741	2012-04-11	1.0775
742	2012-04-12	1.0943
743	2012-04-13	1.0976
744	2012-04-16	1.0954
745	2012-04-17	1.0849
746	2012-04-18	1.1042
747	2012-04-19	1.103
748	2012-04-20	1.1132
749	2012-04-23	1.1063
750	2012-04-24	1.1062
751	2012-04-25	1.1131
752	2012-04-26	1.115
753	2012-04-27	1.1133
754	2012-05-02	1.1324
755	2012-05-03	1.1351
756	2012-05-04	1.1433
757	2012-05-07	1.1442
758	2012-05-08	1.1412
759	2012-05-09	1.1241
760	2012-05-10	1.1241
761	2012-05-11	1.1174
762	2012-05-14	1.1102
763	2012-05-15	1.1109
764	2012-05-16	1.0968
765	2012-05-17	1.1099
766	2012-05-18	1.0968
767	2012-05-21	1.1013
768	2012-05-22	1.1147
769	2012-05-23	1.1113
770	2012-05-24	1.1041
771	2012-05-25	1.0968
772	2012-05-28	1.1108
773	2012-05-29	1.1228
774	2012-05-30	1.12
775	2012-05-31	1.1172
776	2012-06-01	1.1176
777	2012-06-04	1.0931
778	2012-06-05	1.0931
779	2012-06-06	1.0928
780	2012-06-07	1.0886
781	2012-06-08	1.0828
782	2012-06-11	1.0949
783	2012-06-12	1.0892
784	2012-06-13	1.1029
785	2012-06-14	1.0968
786	2012-06-15	1.0997
787	2012-06-18	1.1045
788	2012-06-19	1.0972
789	2012-06-20	1.0956
790	2012-06-21	1.0821
791	2012-06-25	1.0641
792	2012-06-26	1.0653
793	2012-06-27	1.0626
794	2012-06-28	1.0555
795	2012-06-29	1.0675
796	2012-06-30	1.0675
797	2012-07-02	1.0688
798	2012-07-03	1.0702
799	2012-07-04	1.069
