date	value_zq	value_hs300
2019-11-11	1.685	1.6694
2019-11-18	1.688	1.6706
2019-11-25	1.691	1.6629
2019-12-02	1.693	1.6518
2019-12-09	1.695	1.6661
2019-12-16	1.697	1.6905
2019-12-23	1.699	1.685
2019-12-30	1.702	1.7147
2020-01-07	1.707	1.7347
2020-01-14	1.709	1.7422
2020-01-21	1.711	1.7232
2020-02-05	1.715	1.651
2020-02-12	1.719	1.6903
2020-02-19	1.722	1.7072
2020-02-26	1.725	1.7125
2020-03-04	1.729	1.723
2020-03-11	1.732	1.7011
2020-03-18	1.729	1.6026
2020-03-25	1.732	1.6232
2020-04-01	1.735	1.6111
2020-04-09	1.744	1.6406
2020-04-16	1.746	1.6431
2020-04-23	1.748	1.6498
2020-04-30	1.75	1.6707
2020-05-12	1.748	1.6837
2020-05-19	1.747	1.6826
2020-05-26	1.748	1.6617
2020-06-02	1.743	1.6911
2020-06-09	1.736	1.7074
2020-06-16	1.74	1.6995
2020-06-23	1.737	1.7285
2020-07-02	1.74	1.7857
2020-07-09	1.733	1.914
2020-07-16	1.732	1.8375
2020-07-23	1.739	1.8884
2020-07-30	1.741	1.8745
2020-08-06	1.742	1.8998
2020-08-13	1.744	1.8689
2020-08-20	1.747	1.8792
2020-08-27	1.746	1.8934
2020-09-03	1.745	1.9144
2020-09-10	1.745	1.8567
2020-09-17	1.746	1.8705
2020-09-24	1.747	1.8534
2020-10-09	1.748	1.8827
2020-10-16	1.75	1.9118
2020-10-23	1.753	1.8939
2020-10-30	1.756	1.8883
2020-11-06	1.758	1.9362
2020-11-13	1.755	1.9293
2020-11-20	1.748	1.9505
2020-11-27	1.75	1.9595
2020-12-04	1.754	1.9794
2020-12-11	1.755	1.9362
2020-12-18	1.757	1.9626
2020-12-25	1.761	1.9732
2021-01-04	1.765	2.0285
2021-01-11	1.77	2.071
2021-01-18	1.773	2.0893
2021-01-25	1.774	2.1137
2021-02-01	1.772	2.067
2021-02-08	1.773	2.0994
2021-02-22	1.776	2.1059
2021-03-01	1.778	2.0657
2021-03-08	1.781	1.9901
2021-03-15	1.783	1.9804
