时期	前值	现值	发布日期
2014年3月	6.70%	6.60%	2014-04-04
2014年2月	6.60%	6.70%	2014-03-07
2014年1月	6.70%	6.60%	2014-02-07
2013年12月	7.00%	6.70%	2014-01-10
2013年11月	7.20%	7.00%	2013-12-06
2013年10月	7.20%	7.20%	2013-11-08
2013年9月	7.20%	7.20%	2013-10-22
2013年8月	7.30%	7.20%	2013-09-06
2013年7月	7.50%	7.30%	2013-08-02
2013年6月	7.50%	7.50%	2013-07-05
2013年5月	7.60%	7.50%	2013-06-07
2013年4月	7.50%	7.60%	2013-05-03
2013年3月	7.70%	7.50%	2013-04-05
2013年2月	8.00%	7.70%	2013-03-08
2013年1月	7.90%	8.00%	2013-02-01
2012年12月	7.70%	7.90%	2013-01-04
2012年11月	7.80%	7.70%	2012-12-07
2012年10月	7.80%	7.80%	2012-11-02
2012年9月	8.00%	7.80%	2012-10-05
2012年8月	8.20%	8.00%	2012-09-07
2012年7月	8.20%	8.20%	2012-08-03
2012年6月	8.20%	8.20%	2012-07-06
2012年5月	8.20%	8.20%	2012-06-01
2012年4月	8.20%	8.20%	2012-05-04
2012年3月	8.30%	8.20%	2012-04-06
2012年2月	8.30%	8.30%	2012-03-09
2012年1月	8.50%	8.30%	2012-02-03
2011年12月	8.60%	8.50%	2012-01-06
2011年11月	8.80%	8.60%	2011-12-02
2011年10月	9.00%	8.80%	2011-11-04
2011年9月	9.00%	9.00%	2011-10-07
2011年8月	9.00%	9.00%	2011-09-02
2011年7月	9.10%	9.00%	2011-08-05
2011年6月	9.00%	9.10%	2011-07-08
2011年5月	9.10%	9.00%	2011-06-03
2011年4月	9.00%	9.10%	2011-05-06
2011年3月	9.00%	9.00%	2011-04-01
2011年2月	9.20%	9.00%	2011-03-04
2011年1月	9.30%	9.20%	2011-02-05
2010年12月	9.80%	9.30%	2011-01-07
2010年11月	9.40%	9.80%	2010-12-03
2010年10月	9.50%	9.40%	2010-11-05
2010年9月	9.50%	9.50%	2010-10-08
2010年8月	9.40%	9.50%	2010-09-03
2010年7月	9.40%	9.40%	2010-08-06
2010年6月	9.60%	9.40%	2010-07-02
2010年5月	9.90%	9.60%	2010-06-04
2010年4月	9.90%	9.90%	2010-05-07
2010年3月	9.80%	9.90%	2010-04-02
2010年2月	9.80%	9.80%	2010-03-05
2010年1月	9.90%	9.80%	2010-02-05
2009年12月	9.90%	9.90%	2010-01-08
2009年11月	10.00%	9.90%	2009-12-04
2009年10月	9.80%	10.00%	2009-11-06
2009年9月	9.60%	9.80%	2009-10-02
2009年8月	9.50%	9.60%	2009-09-04
2009年7月	9.50%	9.50%	2009-08-07
2009年6月	9.40%	9.50%	2009-07-02
2009年5月	9.00%	9.40%	2009-06-05
2009年4月	8.70%	9.00%	2009-05-08
2009年3月	8.30%	8.70%	2009-04-03
2009年2月	7.80%	8.30%	2009-03-06
2009年1月	7.30%	7.80%	2009-02-06
2008年12月	6.80%	7.30%	2009-01-09
2008年11月	6.50%	6.80%	2008-12-05
2008年10月	6.10%	6.50%	2008-11-07
2008年9月	6.10%	6.10%	2008-10-03
2008年8月	5.80%	6.10%	2008-09-05
2008年7月	5.60%	5.80%	2008-08-01
2008年6月	5.40%	5.60%	2008-07-03
2008年5月	5.00%	5.40%	2008-06-06
2008年4月	5.10%	5.00%	2008-05-02
2008年3月	4.90%	5.10%	2008-04-04
2008年2月	5.00%	4.90%	2008-03-07
2008年1月	9.30%	5.00%	2008-02-01
