,中欧医疗健康混合A,兴全合润,华夏上证50ETF,华安创业板50ETF,华安德国30(DAX)ETF,华泰柏瑞沪深300ETF,南方中证500ETF,博时标普500ETF,嘉实港股通新经济指数A,嘉实稳祥纯债债券A,嘉实超短债债券C,国泰纳斯达克100ETF,天弘中证食品饮料指数A,天弘越南市场股票(QDII)A,富国中证消费50ETF,富国天惠成长混合LOF,工银印度基金人民币,广发稳健增长混合A,招商中证白酒A,招商产业债券A,招商产业债券C,招商双债增强债券(LOF)C,易方达上证50增强A,易方达上证科创板50成份ETF,易方达中小盘混合,易方达中概互联50ETF,易方达中证科创创业50ETF,易方达中证科技50ETF,易方达亚洲精选,易方达创业板ETF,易方达安心回馈混合,易方达恒生国企ETF,易方达恒生科技,易方达日经225ETF,易方达标普信息科技人民币,易方达标普消费品指数A,易方达沪深300医药ETF,易方达沪深300指数增强A,易方达消费精选股票,易方达消费行业股票,易方达深证100ETF,易方达瑞恒灵活配置混合,易方达稳健收益债券B,易方达纯债债券A,易方达纯债债券C,易方达蓝筹精选,易方达裕丰回报债券,易方达高等级信用债债券A,易方达高等级信用债债券C,景顺长城新兴成长混合,景顺长城绩优成长混合,汇添富中证主要消费ETF,汇添富中证新能源汽车A,汇添富全球医疗混合人民币,鹏扬利泽债券C
嘉实超短债债券C,-0.01673357483237243,0.006064781873887438,0.04451561673026937,-0.02703140365263769,-0.031099537753810618,0.03568428511092281,0.01753670097897559,-0.003823747247121742,-0.04820420913614674,0.42448088521598526,1.0000000000000002,0.00832985642849378,-0.013495962707726785,0.0616750725971334,-0.021878052188936837,0.01972677651819065,-0.07236212393583524,0.049926732224179184,-0.03449762553906465,0.35060066801756845,0.027830590478391957,0.12617553641453624,0.02432227512261418,0.09310728396947157,0.0027511269453679727,-0.02582142610312458,0.11955479220057873,0.10406971472360986,0.010719525532238504,0.016168367107904178,0.0007377821729175562,0.038923897397281707,-0.08707583701695239,0.031693739885378165,-0.007883992955948873,0.005192841469130776,-0.005857832486460854,0.11151681792259392,0.02243747941921413,-0.005738910898983324,0.0228332188765647,-0.07247663043650365,0.17461878232182582,0.40575990532855366,0.37872110460251174,-0.021513467302269777,0.09094758260918742,0.3872062836341506,0.3554036549692274,0.007695493424877154,-0.026492460586687076,-0.005896692017295416,-0.0061929220796802685,-0.03557104184124088,0.5318462734343986
国泰纳斯达克100ETF,0.10332605983963566,0.16166905174115262,0.1535963499017361,0.1372609951084647,0.41982796126255156,0.15758407092920054,0.11908619178597711,0.9008621396767181,0.23860970930132275,-0.0332686971539128,0.008329856428493779,1.0,0.16973365666034126,0.15315488758772647,0.16895327856245093,0.15047111670655922,0.5454003781524853,0.10619235999816994,0.14510237185948116,0.0034712328711491644,-0.020250787932426174,0.00784070488680606,0.17701408776701497,0.13180658860650787,0.1614334513850065,0.5183848973286636,0.025693764179654896,0.10966634358342517,0.39168518545174774,0.11968979139803447,0.15897121574078146,0.21459252524223021,0.08794161229283998,0.20857914564741797,0.9771549898713654,0.6384440232598818,0.13352092712433636,0.1212075141242741,0.1697627148041751,0.15684882108183193,0.16349028213558936,0.14733795319577786,0.11854801136522866,0.0060860035857733304,-0.009165699475813359,0.1830263410022248,0.15594148282601913,-0.018909725514505777,0.005560757530977139,0.1599118471624749,0.17946227057519695,0.17637610594213987,0.13844923606066808,0.3815173152957473,-0.004477371433220734
天弘中证食品饮料指数A,0.6954214231728348,0.7571106799061781,0.6713826965163098,0.6156704419968431,0.1501205155424863,0.7187533419503076,0.511309212896285,0.1600332011408524,0.5465304995401825,-0.0815246486533766,-0.013495962707726787,0.1697336566603413,0.9999999999999998,0.2125985834216019,0.930759002517462,0.7164369943521303,0.15138820292287122,0.6633033262197241,0.9008977641839734,-0.016960560019452335,-0.012994541207145186,0.02788448313771756,0.8172221036204644,0.40251202320040147,0.9101072458889753,0.42672117371167495,0.4617311436114758,0.6532551479006734,0.5016884119401864,0.5883822984890729,0.5682009039765861,0.44933053548425156,0.4262873682959481,0.1769574921266259,0.15466936545612273,0.2934538141283901,0.7431271217856604,0.715386647815981,0.8446736579637579,0.9464055394893792,0.7741182878312107,0.9061896534400274,0.5488561698950927,-0.06526961709373229,-0.034158424868748684,0.8604595618708812,0.713883198704239,-0.03195771509892261,-0.018450245294641673,0.9157133115332096,0.844329048263153,0.9668650911369009,0.44060806751087883,0.5162120789543092,-0.03088187270924221
天弘越南市场股票(QDII)A,0.1766530696718108,0.2248422600363907,0.25018493447024803,0.23576580879635697,0.20928403045286303,0.26604727577238774,0.23498778585791089,0.22986175152463725,0.2983499381664068,-0.03399556543506038,0.0616750725971334,0.15315488758772647,0.21259858342160193,0.9999999999999998,0.21964163511748813,0.26271964094894434,0.214622947049514,0.21303315031313216,0.20960954144670912,-0.005382408970866415,0.01612082488512004,0.04290014917687698,0.24127555119751593,0.1912823770961023,0.20575105967303184,0.23002400077289756,0.18751449226062414,0.19638117371238306,0.2563569044541144,0.2448499972612519,0.2619945106830012,0.3094041692021184,0.15219572837727832,0.20244392526396432,0.16219303881090363,0.27837194376340796,0.17626927217983265,0.1900176368657827,0.20120217351572628,0.22693215281511858,0.2586310959192887,0.21157148161604275,0.21211684088865093,-0.10894624085768645,-0.02927217616565622,0.2213184404694413,0.2566043841795132,0.014314122179525325,-0.0010469546001562807,0.2026224366590648,0.22965146674758816,0.2055319387409252,0.2535891422425049,0.190594133012917,0.04702191105197511
富国中证消费50ETF,0.7072782957222705,0.7917474260572764,0.8136442533933566,0.6912038784649369,0.16279233618766958,0.8428590407967725,0.5868217145660913,0.16578060373325515,0.5999414368002349,-0.13451758910471096,-0.02187805218893684,0.16895327856245093,0.930759002517462,0.21964163511748813,0.9999999999999998,0.8307067763866278,0.1869878903261,0.7960618343978311,0.8772968856747352,-0.0844060687603899,-0.011143466562618111,0.06991534428404306,0.9063783004923804,0.40689245791010265,0.9004536319781447,0.47054224272983497,0.472083711976275,0.7049128218995663,0.5337820380529653,0.7089545670822359,0.6043242210938873,0.5241355254546735,0.5051862144054067,0.21435580521656333,0.15847452330249348,0.31419647173999377,0.7509955980046119,0.7478143159312509,0.85283165786983,0.954359276611789,0.8622737118202084,0.9138688036402103,0.6030909853157985,-0.12940664980752098,-0.0763137739800814,0.8672088842418728,0.7477722624082218,-0.08624771363965915,-0.1105361147405227,0.9492628309692538,0.8883282668910132,0.94638310715813,0.4691360695118316,0.5109564282622201,-0.02214083320089768
富国天惠成长混合LOF,0.7438689270456935,0.866796614101512,0.6980715238932724,0.8480644169546634,0.16170833839281687,0.8594580317378733,0.8945772876864682,0.1683441307247578,0.6822505359321464,-0.12127451267289377,0.01972677651819065,0.1504711167065592,0.7164369943521304,0.26271964094894434,0.8307067763866278,0.9999999999999999,0.2291312158324729,0.8450186697314201,0.6756710068856151,0.10363280362260625,-0.042989064958564534,0.05610871372657439,0.730961852460892,0.64344754783359,0.7282432109881413,0.46976162410941097,0.836925100597369,0.8785746839990611,0.5815898645097658,0.8923087876127114,0.6186621937309343,0.534572438797811,0.6482015630916063,0.2805153003596397,0.1821415859296227,0.2916872242369493,0.7675391150782491,0.7830318026409386,0.778185799446196,0.7007833891077208,0.9173394674875213,0.8311921051896568,0.6737544001720782,-0.04382786084146308,-0.022119492656003742,0.7876137963655574,0.8127094616992598,-0.0003517680775179745,0.00011941113306722412,0.7922565810279533,0.8158834539301274,0.7337733975883844,0.6504170127618153,0.5873982944897681,-0.03405987010441103
工银印度基金人民币,0.12769300658191843,0.22810496322299403,0.24392570130432306,0.1778064047199731,0.5733452264553339,0.24620307850437567,0.22434391593585987,0.6483003442578255,0.3254017862056437,-0.10579455083466688,-0.07236212393583526,0.5454003781524853,0.15138820292287122,0.214622947049514,0.1869878903261,0.2291312158324729,0.9999999999999999,0.21286908559485526,0.14793791234273754,-0.07519308385006404,-0.05145887929243435,-0.014423841717232079,0.22011651531984622,0.08970633433938568,0.191610255775775,0.39483550208925927,0.23650651522402757,0.08483886736718685,0.413126540248585,0.18985671532625023,0.2432559528702337,0.387741191425881,0.13324939411881717,0.30304320658133,0.5655883384719393,0.6124604490843015,0.15707670180914027,0.1285008926232498,0.20943299153138986,0.16007301743876562,0.21893929404998794,0.16779416361747926,0.20769300872643223,-0.09439853763884379,-0.08036647436338365,0.22138785371341424,0.2032665500708856,-0.07774580052681179,-0.039804366620111366,0.15219668712929965,0.20256824847810148,0.16921139054916973,0.15110530217450613,0.26748430558868475,-0.06931691027238333
广发稳健增长混合A,0.7364590467221748,0.7104341473329876,0.6157783124494003,0.6941074761829458,0.10692506237773593,0.7744867505256796,0.8432788934190125,0.1158472417842697,0.6253472220455215,-0.08971751767255137,0.04992673222417919,0.10619235999816994,0.663303326219724,0.2130331503131322,0.7960618343978311,0.8450186697314203,0.21286908559485523,1.0000000000000002,0.5885953997421689,0.17540722571525455,-0.09618064503029997,0.06267797776164766,0.6041980601359285,0.5634335777779248,0.6059103662385681,0.4409783710696123,0.6680014590672543,0.7941366784559672,0.49203341227617736,0.8073723950003476,0.45486818673170476,0.4447700466313132,0.6258836770385491,0.28349619703320617,0.1646302145091524,0.20846950808149575,0.6739695437663157,0.7150188829991793,0.7414060987271509,0.5682211147848234,0.7956098071612887,0.7640875425723587,0.6235675945155522,-0.011025402780130937,0.0065743000388824805,0.7417369163274026,0.7170638338289441,0.02820414944093791,0.027252289641811655,0.6815007458510508,0.78526206079097,0.6207889266899613,0.5428941186609297,0.5608584802469617,-0.03931054879861625
招商中证白酒A,0.5693465696900241,0.6892499613012696,0.6486859333299688,0.5061997196289532,0.15214838700715125,0.7006864251660941,0.5324627045328687,0.14431539902314905,0.4717333569955131,-0.10564860164614394,-0.03449762553906465,0.14510237185948116,0.9008977641839733,0.20960954144670912,0.8772968856747352,0.675671006885615,0.14793791234273754,0.5885953997421689,1.0,-0.01372302953589287,-0.020307895784539676,0.01346087012501501,0.7523314056990954,0.35007814045158836,0.8550629192928679,0.3824645646322365,0.4272267649067732,0.5675352604617376,0.4851919074838504,0.5234792338251003,0.5005660019425263,0.46862587137793627,0.32648307770574403,0.19134139581317397,0.1318076071405052,0.284710938474208,0.6668413719908911,0.664885297940215,0.8021849757064057,0.8878008314971291,0.7285958384802238,0.8625626476789279,0.5688500300727677,-0.09139091954253396,-0.07144426377184651,0.7941865289773248,0.662381962351545,-0.05693997466841395,-0.036773114953591354,0.8190849448488597,0.7800868126003356,0.8768123577127881,0.3827134610308523,0.44003626932960727,-0.04722509223079247
招商产业债券A,-0.031023692405513694,0.06840852088189395,0.21048568819357788,-0.0005880958378597938,-0.019965430511826116,0.19180234604538524,0.1245575801914367,-0.0057314745607379486,-0.06165853987365592,0.48468561831944906,0.3506006680175684,0.0034712328711491644,-0.016960560019452335,-0.005382408970866415,-0.0844060687603899,0.10363280362260625,-0.07519308385006404,0.17540722571525452,-0.01372302953589287,1.0000000000000002,0.08687234759374561,0.32385858156404035,0.13891058282553587,0.021987873268079158,0.05192594954655237,-0.047662468574086375,0.030143193079225458,-0.07258444826321066,0.05180447444343535,0.06668428085506117,0.05064162747368014,0.15848691139118284,-0.11609460704561142,-0.0002990235928335851,0.0010604396281627608,0.0002569323840752633,0.036733197616791634,-0.017710668976496185,-0.10303101035401978,0.03154551042689813,0.1301669018593186,-0.0825033650810208,0.41784542444685707,0.46720242869040846,0.4659080146878009,-0.07556236802583748,0.21964147488323063,0.5581425117135084,0.4938600468584994,0.061453736877582245,-0.06831823083537156,0.04117127039129939,-0.028118341443771025,-0.03526408760997717,0.6255232042356056
招商产业债券C,0.0074755450079296,-0.023954554987241965,-0.021786849486575863,0.04724774753306105,-0.009728872293576551,-0.02415103848615682,-0.026480607798242246,-0.018450235326540096,-0.0042875757654710425,0.4929387982873274,0.027830590478391957,-0.020250787932426174,-0.012994541207145186,0.016120824885120042,-0.011143466562618111,-0.042989064958564534,-0.05145887929243434,-0.09618064503029997,-0.020307895784539676,0.0868723475937456,1.0,0.02983672239072129,-0.016469344815118518,0.09629578657439249,-0.010445748697171662,-0.030986952854762887,0.41883757065113514,0.019745556222778862,-0.02394631788095737,-0.04487320659043168,0.00915718234227998,-0.03927965504065316,0.0566005998159684,0.07018661737919434,-0.027528136191276843,-0.03972237094240786,-0.023093431944631107,0.11021580537363584,-0.030241888498024345,-0.01398451063917392,-0.020375390356337095,-0.022128080051729067,0.006361077834259352,0.10381359217267179,0.10332681717285722,-0.0050287659787438,-0.002318577528702542,0.10406129841546116,0.06476673001122969,-0.01718252791703913,0.0006272450306825107,-0.016548314420719523,0.047718209997984734,-0.0002768434770899472,0.6369118804860792
招商双债增强债券(LOF)C,0.021169850091300936,0.0547344970339323,0.09940762166648247,0.08607430307990853,-0.0213935820490592,0.08887979059827485,0.05745982493843095,-0.003950293033779465,0.05497492186257548,0.2653733539093942,0.12617553641453627,0.00784070488680606,0.027884483137717565,0.04290014917687698,0.06991534428404306,0.05610871372657439,-0.014423841717232077,0.06267797776164766,0.013460870125015009,0.32385858156404035,0.02983672239072129,1.0,0.07239603530016234,0.06989445203832428,0.03141895367579315,-0.006721035567020956,0.10984875170203874,0.16752740378434297,0.033870223426895524,0.039730183985274704,0.07474997991502451,0.09074319565301328,-0.18952712267540103,0.05357763829786016,0.01999626038647566,0.007179782611360165,0.023278240191452065,0.0332589650460737,0.03527018311682842,0.01998604618254048,0.06654591890454037,0.01661370533655028,0.2134845491377677,0.2195088022583153,0.2078606295424385,0.03354122475954675,0.12703985837672913,0.2564976027626126,0.21479484124716328,0.03907000295289053,0.054386429733506624,0.03066959322820007,0.07866746702761433,0.04121215346440951,0.5530535269227823
易方达上证50增强A,0.651331096078245,0.7884628435863119,0.9349975342956548,0.6441117868676761,0.18289791413381856,0.8958546131982216,0.5711542158726571,0.1817787246836812,0.6305601472618481,-0.11652502915664664,0.024322275122614184,0.17701408776701497,0.8172221036204645,0.2412755511975159,0.9063783004923806,0.7309618524608918,0.22011651531984622,0.6041980601359285,0.7523314056990954,0.1389105828255359,-0.01646934481511852,0.07239603530016234,1.0000000000000002,0.3953221524509113,0.8343016755391037,0.47741083548802443,0.5719045262508805,0.7449828615158863,0.5597162664921302,0.5545259547449494,0.6363556619294906,0.6384713526318279,0.5841789571020851,0.2972147821611583,0.18602849417264136,0.33267107959193,0.733685282964322,0.8572992775204544,0.7920727269478433,0.8164772117256954,0.8374978469887343,0.870934659741976,0.6841635414426614,-0.04600300856125689,-0.023856804670669526,0.8244526456924027,0.7374382143939727,-0.018083239041530075,-0.013600391155162886,0.8051833214801956,0.8323260443269161,0.824071069740207,0.5033049970898679,0.493433528353296,-0.03254755945661398
易方达上证科创板50成份ETF,0.5358325307711975,0.5831430070758216,0.41744288257029155,0.7407484637973022,-0.0866401836091699,0.5686056975991342,0.6546017954925345,0.06586527307001215,0.5432450166673217,0.03050529490741799,0.09310728396947157,0.13180658860650787,0.40251202320040147,0.19128237709610232,0.4068924579101026,0.64344754783359,0.08970633433938568,0.5634335777779249,0.3500781404515884,0.021987873268079158,0.09629578657439249,0.06989445203832427,0.39532215245091124,1.0,0.45416161555895945,0.3983929535328234,0.7764771169385377,0.7160931510419805,0.3727910744066449,0.7536486133169278,0.6385298919230008,0.3334709368362059,0.3660828998375143,0.039760221714092346,0.10921819480677249,0.10781261620371835,0.49205357822117224,0.49538709516275836,0.5059029484324704,0.431022483161012,0.6541099821719294,0.46321638865472026,0.39091391575917117,0.05556891415118131,0.031980964707536266,0.4686108969571401,0.6121700014718702,0.04669931452994438,0.006078414441676022,0.46526767793441665,0.5131122525140592,0.4037387219601761,0.6606141378762805,0.42960255084452986,0.013824144401168382
