,中欧医疗健康混合A,汇添富中证主要消费ETF,国泰纳斯达克100ETF,组合1,组合2
2020-02-10,1.999,2.0846828850681316,2.021077283372365,2.0528800842202486,2.034920056146832
2020-02-11,2.013,2.1030891060854677,2.021662763466042,2.062375934775755,2.045917289850503
2020-02-12,2.048,2.111792823000642,2.037470725995316,2.074631774497979,2.065754516331986
2020-02-13,2.031,2.0995933509310123,2.0357142857142856,2.0676538183226487,2.0554358788817657
2020-02-14,2.043,2.1181422558322036,2.0427400468384076,2.0804411513353056,2.0679607675568703
2020-02-17,2.094,2.1490333166868805,2.041569086651054,2.095301201668967,2.094867467779311
2020-02-18,2.085,2.139544838410502,2.0433255269320845,2.091435182671293,2.089290121780862
2020-02-19,2.054,2.164015124491689,2.0679156908665104,2.1159654076790995,2.095310271786066
2020-02-20,2.079,2.2066062638225015,2.048594847775176,2.1276005557988387,2.111400370532559
2020-02-21,2.095,2.195833630591425,2.0152224824355973,2.105528056513511,2.1020187043423406
2020-02-24,2.106,2.1742883641292714,1.937353629976581,2.055820997052926,2.072547331368617
2020-02-25,2.125,2.169294428194336,1.8852459016393444,2.02727016491684,2.0598467766112263
2020-02-26,2.068,2.1538132267960335,1.8899297423887589,2.0218714845923964,2.0372476563949307
2020-02-27,2.1,2.180495113076978,1.798009367681499,1.9892522403792385,2.0261681602528254
2020-02-28,2.048,2.097595776557038,1.8003512880562063,1.948973532306622,1.9819823548710813
2020-03-02,2.087,2.1554540914603697,1.8782201405152226,2.016837115987796,2.040224743991864
2020-03-03,2.138,2.1799957194834843,1.8126463700234192,1.9963210447534516,2.043547363168968
2020-03-04,2.148,2.213383748305629,1.8870023419203747,2.050193045113002,2.0827953634086676
2020-03-05,2.197,2.308625240779054,1.8261124121779861,2.0673688264785204,2.1105792176523464
2020-03-06,2.203,2.2725262181636583,1.794496487119438,2.0335113526415483,2.0900075684276986
2020-03-09,2.163,2.208603838196476,1.6721311475409835,1.9403674928687296,2.014578328579153
2020-03-10,2.158,2.247913248198616,1.7605386416861828,2.0042259449423994,2.055483963294933
2020-03-11,2.126,2.2399229507027183,1.6914519906323184,1.9656874706675183,2.019124980445012
2020-03-12,2.058,2.177784119283727,1.53864168618267,1.8582129027331984,1.9248086018221322
2020-03-13,2.022,2.1498180780480847,1.699648711943794,1.9247333949959393,1.9571555966639593
2020-03-16,1.932,2.0554326888777914,1.4918032786885247,1.773617983783158,1.8264119891887718
