date,sharesNewAccount,close
2015-06-19,991900,4478.36
2015-06-12,1413500,5166.35
2015-06-09,1499100,5023.1
2015-05-29,1644400,4611.74
2015-05-22,896600,4657.6
2015-05-15,797000,4308.69
2015-05-09,820700,4205.92
2015-04-30,2954190,4441.65
2015-04-24,4138596,4393.69
2015-04-17,3284058,4287.3
2015-04-10,1684118,4034.31
2015-04-09,1562600,3863.93
2015-03-27,1669269,3691.1
2015-03-20,1139227,3617.32
2015-03-13,721544,3372.91
2015-03-09,662614,3241.19
2015-02-27,271938,3310.3
2015-02-17,122840,3246.91
2015-02-13,339225,3203.83
2015-02-09,384838,3075.91
2015-01-30,474873,3210.36
2015-01-23,501656,3351.76
2015-01-16,446836,3376.5
2015-01-09,550829,3285.41
2014-12-31,310814,3234.68
2014-12-26,547606,3157.6
2014-12-19,632514,3108.6
2014-12-12,892244,2938.17
2014-12-09,598261,2937.65
2014-11-28,370071,2682.83
2014-11-21,234065,2486.79
2014-11-14,243607,2478.82
2014-11-09,235767,2418.17
2014-10-31,217601,2420.18
2014-10-24,210393,2302.28
2014-10-17,242984,2341.18
2014-10-10,154915,2374.54
2014-09-30,96222,2363.87
2014-09-26,219716,2347.72
2014-09-19,217051,2329.45
2014-09-12,177306,2331.95
2014-09-09,165138,2326.43
2014-08-29,160011,2217.2
2014-08-22,173719,2240.81
2014-08-15,151947,2226.73
2014-08-09,131853,2194.42
2014-08-09,131716,2185.3
2014-07-25,92873,2126.61
2014-07-18,106700,2059.07
2014-07-11,133060,2046.96
2014-07-09,122727,2059.37
2014-06-27,138923,2036.51
2014-06-20,120729,2026.67
2014-06-13,99762,2070.71
2014-06-09,57529,2029.96
2014-05-30,77741,2039.21
2014-05-23,73229,2034.57
2014-05-16,72200,2026.5
2014-05-09,64147,2011.13
2014-04-30,47887,2026.36
2014-04-25,78322,2036.52
2014-04-18,84769,2097.75
2014-04-11,67595,2130.54
2014-04-09,89538,2058.83
2014-03-28,165648,2041.71
2014-03-21,150122,2047.62
2014-03-14,151285,2004.34
2014-03-09,153817,2057.91
2014-02-28,177225,2056.3
2014-02-21,173147,2113.69
2014-02-14,143574,2115.85
2014-02-09,16073,2044.5
2014-01-30,60824,2033.08
2014-01-24,92565,2054.39
2014-01-17,77154,2004.95
2014-01-10,73233,2013.3
2014-01-09,66679,2083.14
2013-12-27,83955,2101.25
2013-12-20,82167,2084.79
2013-12-13,93465,2196.07
2013-12-09,101820,2237.11
2013-11-29,104782,2220.5
2013-11-22,124563,2196.38
2013-11-15,77968,2135.83
2013-11-09,79441,2106.13
2013-11-09,90419,2149.56
2013-10-25,102038,2132.96
2013-10-18,111467,2193.78
2013-10-11,79075,2228.15
2013-09-30,26134,2174.67
2013-09-27,119003,2160.03
2013-09-18,63905,2191.85
2013-09-13,102851,2236.22
2013-09-09,81919,2139.99
2013-08-30,93794,2098.38
2013-08-23,80736,2057.46
2013-08-16,76248,2068.45
2013-08-09,73803,2052.24
2013-08-09,74664,2029.42
2013-07-26,82278,2010.85
2013-07-19,78996,1992.65
2013-07-12,75204,2039.49
2013-07-09,82488,2007.2
2013-06-28,142354,1979.21
2013-06-21,96827,2073.1
