2016年5月29日	3,963.23	3,957.95	3,974.76	3,957.95	-	0.04%
2016年5月22日	3,961.67	3,863.82	3,961.67	3,863.82	-	2.32%
2016年5月15日	3,871.75	3,896.36	3,896.36	3,847.97	-	0.35%
2016年5月8日	3,858.17	3,878.14	3,926.63	3,858.17	-	-0.44%
2016年5月1日	3,875.18	3,918.53	3,918.53	3,862.40	-	-0.33%
2016年4月24日	3,888.13	3,929.88	3,944.02	3,888.13	-	-1.24%
2016年4月17日	3,937.00	3,941.86	3,957.25	3,936.80	-	0.53%
2016年4月10日	3,916.17	3,842.17	3,920.03	3,842.17	-	1.65%
2016年4月3日	3,852.72	3,886.00	3,888.41	3,841.98	-	-1.15%
2016年3月27日	3,897.66	3,829.26	3,897.66	3,829.26	-	1.84%
2016年3月20日	3,827.14	3,855.97	3,855.97	3,827.14	-	-0.65%
2016年3月13日	3,852.15	3,795.53	3,852.15	3,788.62	-	1.37%
2016年3月6日	3,800.07	3,759.05	3,800.07	3,717.49	-	1.19%
2016年2月28日	3,755.47	3,627.06	3,755.47	3,627.06	-	2.71%
2016年2月21日	3,656.42	3,649.92	3,662.84	3,604.68	-	1.63%
2016年2月14日	3,597.92	3,555.20	3,614.16	3,555.20	-	2.91%
2016年2月7日	3,496.28	3,472.08	3,496.28	3,428.99	-	-0.72%
2016年1月31日	3,521.60	3,630.46	3,630.46	3,521.60	-	-3.04%
2016年1月24日	3,631.96	3,513.11	3,631.96	3,513.11	-	1.77%
2016年1月17日	3,568.90	3,520.40	3,568.90	3,479.75	-	1.43%
2016年1月10日	3,518.51	3,598.97	3,627.06	3,518.51	-	-2.15%
2016年1月3日	3,595.91	3,763.99	3,771.57	3,595.91	-	-5.91%
2015年12月27日	3,821.60	3,843.94	3,885.55	3,821.60	-	-0.80%
2015年12月20日	3,852.31	3,777.15	3,858.47	3,777.15	-	2.80%
2015年12月13日	3,747.56	3,777.22	3,873.12	3,747.56	-	-0.31%
2015年12月6日	3,759.09	3,878.31	3,878.31	3,759.09	-	-3.74%
2015年11月29日	3,905.31	3,882.84	3,924.63	3,826.74	-	0.12%
2015年11月22日	3,900.74	3,892.80	3,900.74	3,892.80	-	0.08%
2015年11月15日	3,897.45	3,828.46	3,897.45	3,824.14	-	3.34%
2015年11月8日	3,771.58	3,873.37	3,880.23	3,771.58	-	-3.56%
2015年11月1日	3,910.98	3,917.30	3,928.05	3,910.98	-	1.02%
2015年10月25日	3,871.33	3,855.29	3,891.35	3,845.45	-	0.22%
2015年10月18日	3,862.65	3,784.72	3,862.65	3,757.91	-	2.09%
2015年10月11日	3,783.64	3,753.73	3,783.64	3,711.11	-	0.93%
2015年10月4日	3,748.96	3,695.61	3,748.96	3,682.33	-	3.30%
2015年9月27日	3,629.04	3,498.61	3,629.04	3,498.61	-	1.10%
2015年9月20日	3,589.71	3,655.64	3,655.64	3,589.71	-	-1.35%
2015年9月13日	3,638.99	3,628.87	3,707.62	3,628.87	-	-0.13%
2015年9月6日	3,643.54	3,657.32	3,657.32	3,606.80	-	2.13%
2015年8月30日	3,567.41	3,660.75	3,660.75	3,552.66	-	-3.36%
2015年8月23日	3,691.30	3,512.65	3,691.30	3,465.19	-	0.95%
2015年8月16日	3,656.67	3,899.10	3,899.10	3,656.67	-	-5.71%
2015年8月9日	3,878.16	3,899.36	3,899.36	3,862.81	-	0.73%
2015年8月2日	3,849.96	3,885.07	3,889.99	3,849.96	-	-1.18%
2015年7月26日	3,895.80	3,827.93	3,904.64	3,827.93	-	1.19%
2015年7月19日	3,850.15	3,939.35	3,939.35	3,850.15	-	-2.19%
2015年7月12日	3,936.22	3,885.97	3,936.22	3,885.97	-	2.42%
2015年7月5日	3,843.10	3,827.35	3,850.66	3,787.67	-	0.03%
2015年6月28日	3,842.06	3,805.50	3,843.26	3,805.50	-	-1.14%
2015年6月21日	3,886.21	3,924.41	3,927.23	3,886.21	-	-0.37%
2015年6月14日	3,900.64	3,852.75	3,921.43	3,852.75	-	0.78%
2015年6月7日	3,870.56	3,841.45	3,897.59	3,841.45	-	0.12%
2015年5月31日	3,865.83	3,899.59	3,904.83	3,865.83	-	-0.65%
2015年5月24日	3,891.18	3,883.88	3,920.11	3,883.88	-	-0.84%
2015年5月17日	3,924.16	3,928.15	3,932.90	3,923.18	-	0.21%
2015年5月10日	3,915.99	3,881.93	3,915.99	3,870.36	-	0.38%
2015年5月3日	3,901.01	3,895.16	3,901.01	3,833.70	-	0.44%
2015年4月26日	3,883.75	3,884.10	3,895.21	3,841.78	-	-0.42%
2015年4月19日	3,900.24	3,867.82	3,900.24	3,862.15	-	1.77%
2015年4月12日	3,832.33	3,852.93	3,879.10	3,832.33	-	-0.98%
2015年4月5日	3,870.31	3,829.31	3,870.31	3,821.49	-	1.74%
2015年3月29日	3,804.14	3,838.65	3,838.65	3,790.66	-	0.32%
2015年3月22日	3,791.90	3,870.49	3,870.49	3,782.21	-	-2.20%
2015年3月15日	3,877.26	3,827.62	3,877.26	3,814.91	-	2.67%
2015年3月8日	3,776.44	3,822.42	3,822.42	3,751.20	-	-0.80%
