2018年2月4日	6,412.68	6,687.47	6,807.96	6,164.43	1.44B	-5.14%
2018年1月28日	6,760.29	7,000.68	7,020.64	6,756.54	1.02B	-3.74%
2018年1月21日	7,022.97	6,829.55	7,022.97	6,822.85	872.75M	2.76%
2018年1月14日	6,834.33	6,807.85	6,843.24	6,719.11	720.37M	1.12%
2018年1月7日	6,758.54	6,651.68	6,763.98	6,619.35	747.63M	1.58%
2017年12月31日	6,653.29	6,431.59	6,654.98	6,417.75	626.35M	4.02%
2017年12月24日	6,396.42	6,427.32	6,452.07	6,396.42	393.41M	-1.06%
2017年12月17日	6,465.17	6,504.89	6,522.70	6,447.93	753.13M	-0.02%
2017年12月10日	6,466.32	6,351.24	6,470.92	6,347.91	1.07B	1.92%
2017年12月3日	6,344.57	6,380.68	6,380.77	6,234.22	883.34M	0.11%
2017年11月26日	6,337.87	6,409.52	6,426.04	6,244.84	988.00M	-1.11%
2017年11月19日	6,409.29	6,319.57	6,410.77	6,301.88	463.93M	1.50%
2017年11月12日	6,314.51	6,286.01	6,352.47	6,227.99	753.95M	0.09%
2017年11月5日	6,309.07	6,292.15	6,346.98	6,248.29	777.11M	0.21%
2017年10月29日	6,295.58	6,209.80	6,297.62	6,194.58	896.41M	1.32%
2017年10月22日	6,213.47	6,122.24	6,223.52	6,011.24	854.61M	1.71%
2017年10月15日	6,108.82	6,108.66	6,129.49	6,051.47	688.65M	0.27%
2017年10月8日	6,092.45	6,071.96	6,100.06	6,036.72	679.04M	0.46%
2017年10月1日	6,064.57	5,988.96	6,064.67	5,955.83	634.98M	1.43%
2017年9月24日	5,979.30	5,904.06	5,980.22	5,839.89	762.42M	0.79%
2017年9月17日	5,932.32	5,997.51	6,012.95	5,911.48	695.50M	-0.93%
2017年9月10日	5,988.00	5,962.35	6,009.44	5,957.85	967.25M	1.26%
2017年9月3日	5,913.37	5,966.64	5,980.91	5,890.25	572.37M	-1.24%
2017年8月27日	5,987.90	5,839.27	6,009.61	5,785.22	654.81M	2.84%
2017年8月20日	5,822.53	5,791.04	5,879.00	5,750.50	632.69M	0.55%
2017年8月13日	5,790.91	5,878.64	5,944.98	5,770.14	742.09M	-0.70%
2017年8月6日	5,831.53	5,909.45	5,972.93	5,783.36	737.72M	-1.16%
2017年7月30日	5,899.90	5,928.69	5,936.15	5,859.62	802.43M	-0.15%
2017年7月23日	5,908.92	5,920.93	5,995.77	5,847.05	835.45M	-0.21%
